Date mutation,valeur_fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Surface Carrez du 1er lot,Nombre pieces principales,Surface terrain
10/01/2022,89000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
10/01/2022,89000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,3.0,
17/01/2022,266500.0,9.0,RUE,0240,DE LOMME,59840.0,PERENCHIES,59,457,,4.0,
20/01/2022,108700.0,1.0,RUE,0260,GUY MOCQUET,59113.0,SECLIN,59,560,"41,25",3.0,
17/01/2022,259000.0,20.0,RUE,0010,DE L ABBE LEMIRE,59110.0,LA MADELEINE,59,368,"85,38",4.0,
07/01/2022,165000.0,2.0,RUE,0565,DE FLANDRE,59110.0,LA MADELEINE,59,368,"82,61",4.0,
07/01/2022,228000.0,101.0,BD,6210,MONTEBELLO,59000.0,LILLE,59,350,,3.0,
10/01/2022,200000.0,120.0,AV,1490,DU MARECHAL FOCH,59700.0,MARCQ EN BAROEUL,59,378,,4.0,
12/01/2022,93625.0,240.0,RUE,3312,DU FBG DES POSTES,59000.0,LILLE,59,350,"22,95",1.0,
18/01/2022,192000.0,76.0,RUE,4960,DE ROUBAIX,59200.0,TOURCOING,59,599,"126,50",4.0,
11/01/2022,191000.0,198.0,RUE,2560,DE GUISNES,59200.0,TOURCOING,59,599,,4.0,
10/01/2022,125000.0,291.0,AV,9430,DE DUNKERQUE LOMME,59160.0,LILLE,59,350,,2.0,
12/01/2022,99000.0,62.0,RUE,1844,DE CONDE,59000.0,LILLE,59,350,"20,50",1.0,
10/01/2022,455000.0,66.0,BD,5603,DE LA LIBERTE,59800.0,LILLE,59,350,,5.0,
10/01/2022,95800.0,12.0,RUE,2970,JEAN FROISSART,59200.0,TOURCOING,59,599,,4.0,
11/01/2022,240403.0,,RUE,0701,DU VENT DE BISE,59118.0,WAMBRECHIES,59,636,,3.0,
14/01/2022,105000.0,66.0,RUE,0657,BAYARD,59000.0,LILLE,59,350,,2.0,
07/01/2022,78500.0,51.0,RUE,5264,LA FONTAINE,59800.0,LILLE,59,350,"30,10",1.0,
14/01/2022,119000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,3.0,
14/01/2022,119000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
14/01/2022,119000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
14/01/2022,119000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
14/01/2022,119000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,3.0,
14/01/2022,119000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
